Show_Id,Category,Title,Release_Date,Duration,Type
s10,Movie,1920 horror,2017-12-15,143 min,"Horror Movies, International Movies, Thrillers"
s79,Movie,2 States,2018-08-04,143 min,"Comedies, Dramas, International Movies"
s101,Movie,3 Idiots,2019-08-01,164 min,"Comedies, Dramas, International Movies"
s137,Movie,7 Khoon Maaf,2018-08-02,148 min,"Dramas, International Movies, Thrillers"
s173,Movie,A Flying Jatt,2017-11-15,142 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
s252,Movie,A Wednesday,2018-11-01,103 min,"Action & Adventure, Dramas, International Movies"
s270,Movie,Aamir,2018-11-01,95 min,"International Movies, Thrillers"
s272,Movie,Aarakshan,2019-12-31,164 min,"Dramas, International Movies"
s279,Movie,ABCD 2,2018-11-01,146 min,"Dramas, International Movies, Music & Musicals"
s280,Movie,ABCD: Any Body Can Dance,2018-11-01,136 min,"Dramas, International Movies"
s301,Movie,Action Replayy,2020-05-11,129 min,"Children & Family Movies, Comedies, International Movies"
s344,Movie,Agneepath,2020-04-01,174 min,"Dramas, International Movies"
s355,Movie,Aitraaz,2018-03-01,153 min,"International Movies, Music & Musicals, Romantic Movies"
s356,Movie,Aiyaary,2018-05-15,158 min,"Action & Adventure, Dramas, International Movies"
s359,Movie,Ajab Prem Ki Ghazab Kahani,2020-10-25,150 min,"Comedies, International Movies, Music & Musicals"
s369,Movie,Ala Vaikunthapurramuloo,2020-02-27,162 min,"Action & Adventure, Comedies, Dramas"
s447,Movie,Amar Akbar Anthony,2019-12-31,172 min,"Action & Adventure, Classic Movies, Comedies"
s508,Movie,Andaz Apna Apna,2020-05-11,160 min,"Action & Adventure, Comedies, Cult Movies"
s509,Movie,Andhadhun,2018-12-16,137 min,"Comedies, Dramas, International Movies"
s561,Movie,Apaharan,2021-01-08,161 min,"Dramas, International Movies"
s590,Movie,Article 15,2019-09-06,125 min,"Dramas, International Movies, Thrillers"
s655,Movie,Baadshaho,2017-10-16,135 min,"Action & Adventure, International Movies"
s656,Movie,Baaghi,2018-08-04,127 min,"Action & Adventure, International Movies"
s657,Movie,Baahubali 2: The Conclusion (Hindi Version),2017-08-07,165 min,"Action & Adventure, Dramas, International Movies"
s661,Movie,Baahubali: The Beginning (Hindi Version),2017-08-07,159 min,"Action & Adventure, Dramas, International Movies"
s752,Movie,Bareilly Ki Barfi,2018-08-21,110 min,"Comedies, Dramas, International Movies"
s754,Movie,Barfi!,2018-11-01,144 min,"Comedies, Dramas, International Movies"
s757,Movie,Barsaat,2018-04-01,166 min,"Action & Adventure, International Movies, Music & Musicals"
